Name;parole
LOR SAN TEKKA ; This will begin to make things right. I've traveled too far, and seen toomuch, to ignore the despair in the galaxy. Without the Jedi, there can be no balance in the Force.
POE; Well, because of you now we have a chance. The General's been after this for a long time.
LOR SAN TEKKA ; The General. To me, she's royalty. Well, she certainly is that.
POE ; We've got company.
POE ; You have to hide.
LOR SAN TEKKA ; You have to leave. Go!
POE ;Come on, BB-8! Hurry!
POE ; I see 'em!
POE ; You take this. It's safer with you than it is with me. You get as far away from here as you can. Do you hear me? I'll come back for you! It will be alright.
SENIOR TROOPER ; Stay here.
KYLO REN ; Look how old you've become.
LOR SAN TEKKA ; Something far worse has happened to you.
KYLO REN ; You know what I've come for.
LOR SAN TEKKA ; I know where you come from. Before you called yourself Kylo Ren.
KYLO REN ; The map to Skywalker. We know you've found it, and now you're going to give it to the First Order.
LOR SAN TEKKA ; The First Order rose from the dark side... you did not.
KYLO REN ; I'll show you the dark side.
LOR SAN TEKKA ; You may try, but you cannot deny the truth that is your family.
KYLO REN ; You're so right.
POE ; So who talks first? You talk first?
KYLO REN ; The old man gave it to you.
POE ;  It's just very hard to understand you with all the...
KYLO REN ; Search him.
POE ; Apparatus
STORMTROOPER 1; Nothing, sir.
KYLO REN ; Put him on board.
CAPTAIN PHASMA ; Sir, the villagers.
KYLO REN ; Kill them all.
CAPTAIN PHASMA ; On my command!
CAPTAIN PHASMA ; Fire!
STORMTROOPER 2; Nothing here. Go ahead!
POE ; All right. All right!
CAPTAIN PHASMA ;FN-2187. Submit your blaster for inspection.
FINN ; Yes, Captain.
CAPTAIN PHASMA ; And who gave you permission to remove that helmet?
FINN ; I'm sorry, Captain.
CAPTAIN PHASMA ; Report to my division at once.
UNKAR ; What you've brought me today is worth... Hmmm... One quarter portion.
REY ; Tal'ama parqual!
REY ; Parqual zatana!
REY ; NOMA.
REY ; Shhhh.
REY ; That's just Teedo. Wants you for parts. He has no respect for anyone. Your antenna's bent. Where do you come from?
REY ; Classified. Really? Me too. Big secret. Niima Outpost is that way, stay off Kelvin Ridge.
REY ; Keep away from the Sinking Fields in the north, you'll drown in the sand.
REY ; Don't follow me. Town is that way. No!
REY ; In the morning, you go. You're welcome.
KYLO REN ; I had no idea we had the best pilot in the Resistance on board. Comfortable?
POE ; Not really.
KYLO REN ; I'm impressed. No one has been able to get out of you what you did with the map.
POE ; Might wanna rethink your technique.
KYLO REN ; Where is it?
POE ; The Resistance will not be intimidated by you.
KYLO REN ; Where... is it?
KYLO REN ; It's in a droid. A BB unit.
